userId	geneSymbol	geneName	entrezgene	gLink
AANAT	AANAT	aralkylamine N-acetyltransferase	15	https://www.ncbi.nlm.nih.gov/gene/?term=15
EXOC4	EXOC4	exocyst complex component 4	60412	https://www.ncbi.nlm.nih.gov/gene/?term=60412
TRA2A	TRA2A	transformer 2 alpha homolog	29896	https://www.ncbi.nlm.nih.gov/gene/?term=29896
RANBP2	RANBP2	RAN binding protein 2	5903	https://www.ncbi.nlm.nih.gov/gene/?term=5903
BMP6	BMP6	bone morphogenetic protein 6	654	https://www.ncbi.nlm.nih.gov/gene/?term=654
THBD	THBD	thrombomodulin	7056	https://www.ncbi.nlm.nih.gov/gene/?term=7056
TNFRSF11A	TNFRSF11A	TNF receptor superfamily member 11a	8792	https://www.ncbi.nlm.nih.gov/gene/?term=8792
CBX8	CBX8	chromobox 8	57332	https://www.ncbi.nlm.nih.gov/gene/?term=57332
LDHD	LDHD	lactate dehydrogenase D	197257	https://www.ncbi.nlm.nih.gov/gene/?term=197257
NOTCH3	NOTCH3	notch receptor 3	4854	https://www.ncbi.nlm.nih.gov/gene/?term=4854
BRF1	BRF1	BRF1, RNA polymerase III transcription initiation factor subunit	2972	https://www.ncbi.nlm.nih.gov/gene/?term=2972
SOCS1	SOCS1	suppressor of cytokine signaling 1	8651	https://www.ncbi.nlm.nih.gov/gene/?term=8651
TGFB1	TGFB1	transforming growth factor beta 1	7040	https://www.ncbi.nlm.nih.gov/gene/?term=7040
PCOLCE2	PCOLCE2	procollagen C-endopeptidase enhancer 2	26577	https://www.ncbi.nlm.nih.gov/gene/?term=26577
RANGAP1	RANGAP1	Ran GTPase activating protein 1	5905	https://www.ncbi.nlm.nih.gov/gene/?term=5905
SLC27A1	SLC27A1	solute carrier family 27 member 1	376497	https://www.ncbi.nlm.nih.gov/gene/?term=376497
GMDS	GMDS	GDP-mannose 4,6-dehydratase	2762	https://www.ncbi.nlm.nih.gov/gene/?term=2762
SLC5A6	SLC5A6	solute carrier family 5 member 6	8884	https://www.ncbi.nlm.nih.gov/gene/?term=8884
GPX3	GPX3	glutathione peroxidase 3	2878	https://www.ncbi.nlm.nih.gov/gene/?term=2878
PLD2	PLD2	phospholipase D2	5338	https://www.ncbi.nlm.nih.gov/gene/?term=5338
HNRNPC	HNRNPC	heterogeneous nuclear ribonucleoprotein C (C1/C2)	3183	https://www.ncbi.nlm.nih.gov/gene/?term=3183
SLC10A1	SLC10A1	solute carrier family 10 member 1	6554	https://www.ncbi.nlm.nih.gov/gene/?term=6554
TRAF4	TRAF4	TNF receptor associated factor 4	9618	https://www.ncbi.nlm.nih.gov/gene/?term=9618
ZNF483	ZNF483	zinc finger protein 483	158399	https://www.ncbi.nlm.nih.gov/gene/?term=158399
CCR6	CCR6	C-C motif chemokine receptor 6	1235	https://www.ncbi.nlm.nih.gov/gene/?term=1235
SORD	SORD	sorbitol dehydrogenase	6652	https://www.ncbi.nlm.nih.gov/gene/?term=6652
UBR1	UBR1	ubiquitin protein ligase E3 component n-recognin 1	197131	https://www.ncbi.nlm.nih.gov/gene/?term=197131
PSME4	PSME4	proteasome activator subunit 4	23198	https://www.ncbi.nlm.nih.gov/gene/?term=23198
MAN2A1	MAN2A1	mannosidase alpha class 2A member 1	4124	https://www.ncbi.nlm.nih.gov/gene/?term=4124
KIR2DL1	KIR2DL1	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 1	3802	https://www.ncbi.nlm.nih.gov/gene/?term=3802
CASP9	CASP9	caspase 9	842	https://www.ncbi.nlm.nih.gov/gene/?term=842
EPAS1	EPAS1	endothelial PAS domain protein 1	2034	https://www.ncbi.nlm.nih.gov/gene/?term=2034
AXIN1	AXIN1	axin 1	8312	https://www.ncbi.nlm.nih.gov/gene/?term=8312
ETS1	ETS1	ETS proto-oncogene 1, transcription factor	2113	https://www.ncbi.nlm.nih.gov/gene/?term=2113
ENTPD6	ENTPD6	ectonucleoside triphosphate diphosphohydrolase 6 (putative)	955	https://www.ncbi.nlm.nih.gov/gene/?term=955
DCPS	DCPS	decapping enzyme, scavenger	28960	https://www.ncbi.nlm.nih.gov/gene/?term=28960
AMN	AMN	amnion associated transmembrane protein	81693	https://www.ncbi.nlm.nih.gov/gene/?term=81693
MAN1C1	MAN1C1	mannosidase alpha class 1C member 1	57134	https://www.ncbi.nlm.nih.gov/gene/?term=57134
PPARD	PPARD	peroxisome proliferator activated receptor delta	5467	https://www.ncbi.nlm.nih.gov/gene/?term=5467
EIF3F	EIF3F	eukaryotic translation initiation factor 3 subunit F	8665	https://www.ncbi.nlm.nih.gov/gene/?term=8665
AKR1C3	AKR1C3	aldo-keto reductase family 1 member C3	8644	https://www.ncbi.nlm.nih.gov/gene/?term=8644
IL10RA	IL10RA	interleukin 10 receptor subunit alpha	3587	https://www.ncbi.nlm.nih.gov/gene/?term=3587
PTGER4	PTGER4	prostaglandin E receptor 4	5734	https://www.ncbi.nlm.nih.gov/gene/?term=5734
FGFR1	FGFR1	fibroblast growth factor receptor 1	2260	https://www.ncbi.nlm.nih.gov/gene/?term=2260
GALM	GALM	galactose mutarotase	130589	https://www.ncbi.nlm.nih.gov/gene/?term=130589
LDHA	LDHA	lactate dehydrogenase A	3939	https://www.ncbi.nlm.nih.gov/gene/?term=3939
RCC1	RCC1	regulator of chromosome condensation 1	1104	https://www.ncbi.nlm.nih.gov/gene/?term=1104
KPNA2	KPNA2	karyopherin subunit alpha 2	3838	https://www.ncbi.nlm.nih.gov/gene/?term=3838
HABP4	HABP4	hyaluronan binding protein 4	22927	https://www.ncbi.nlm.nih.gov/gene/?term=22927
CXCR6	CXCR6	C-X-C motif chemokine receptor 6	10663	https://www.ncbi.nlm.nih.gov/gene/?term=10663
SLC35D1	SLC35D1	solute carrier family 35 member D1	23169	https://www.ncbi.nlm.nih.gov/gene/?term=23169
RPTOR	RPTOR	regulatory associated protein of MTOR complex 1	57521	https://www.ncbi.nlm.nih.gov/gene/?term=57521
RPA2	RPA2	replication protein A2	6118	https://www.ncbi.nlm.nih.gov/gene/?term=6118
DPP4	DPP4	dipeptidyl peptidase 4	1803	https://www.ncbi.nlm.nih.gov/gene/?term=1803
RET	RET	ret proto-oncogene	5979	https://www.ncbi.nlm.nih.gov/gene/?term=5979
SYNJ2	SYNJ2	synaptojanin 2	8871	https://www.ncbi.nlm.nih.gov/gene/?term=8871
DUSP2	DUSP2	dual specificity phosphatase 2	1844	https://www.ncbi.nlm.nih.gov/gene/?term=1844
ACYP2	ACYP2	acylphosphatase 2	98	https://www.ncbi.nlm.nih.gov/gene/?term=98
STAM	STAM	signal transducing adaptor molecule	8027	https://www.ncbi.nlm.nih.gov/gene/?term=8027
MAP3K9	MAP3K9	mitogen-activated protein kinase kinase kinase 9	4293	https://www.ncbi.nlm.nih.gov/gene/?term=4293
PRNP	PRNP	prion protein	5621	https://www.ncbi.nlm.nih.gov/gene/?term=5621
CD28	CD28	CD28 molecule	940	https://www.ncbi.nlm.nih.gov/gene/?term=940
CLCF1	CLCF1	cardiotrophin like cytokine factor 1	23529	https://www.ncbi.nlm.nih.gov/gene/?term=23529
TNFRSF10B	TNFRSF10B	TNF receptor superfamily member 10b	8795	https://www.ncbi.nlm.nih.gov/gene/?term=8795
PCCB	PCCB	propionyl-CoA carboxylase subunit beta	5096	https://www.ncbi.nlm.nih.gov/gene/?term=5096
STARD5	STARD5	StAR related lipid transfer domain containing 5	80765	https://www.ncbi.nlm.nih.gov/gene/?term=80765
SLBP	SLBP	stem-loop binding protein	7884	https://www.ncbi.nlm.nih.gov/gene/?term=7884
AGAP2	AGAP2	ArfGAP with GTPase domain, ankyrin repeat and PH domain 2	116986	https://www.ncbi.nlm.nih.gov/gene/?term=116986
AGPAT5	AGPAT5	1-acylglycerol-3-phosphate O-acyltransferase 5	55326	https://www.ncbi.nlm.nih.gov/gene/?term=55326
CARD11	CARD11	caspase recruitment domain family member 11	84433	https://www.ncbi.nlm.nih.gov/gene/?term=84433
IL4	IL4	interleukin 4	3565	https://www.ncbi.nlm.nih.gov/gene/?term=3565
ZFPM1	ZFPM1	zinc finger protein, FOG family member 1	161882	https://www.ncbi.nlm.nih.gov/gene/?term=161882
PLA2G6	PLA2G6	phospholipase A2 group VI	8398	https://www.ncbi.nlm.nih.gov/gene/?term=8398
FXYD2	FXYD2	FXYD domain containing ion transport regulator 2	486	https://www.ncbi.nlm.nih.gov/gene/?term=486
DAAM1	DAAM1	dishevelled associated activator of morphogenesis 1	23002	https://www.ncbi.nlm.nih.gov/gene/?term=23002
PPP1CB	PPP1CB	protein phosphatase 1 catalytic subunit beta	5500	https://www.ncbi.nlm.nih.gov/gene/?term=5500
IGLL1	IGLL1	immunoglobulin lambda like polypeptide 1	3543	https://www.ncbi.nlm.nih.gov/gene/?term=3543
TOMM20	TOMM20	translocase of outer mitochondrial membrane 20	9804	https://www.ncbi.nlm.nih.gov/gene/?term=9804
AKAP5	AKAP5	A-kinase anchoring protein 5	9495	https://www.ncbi.nlm.nih.gov/gene/?term=9495
CSNK2A2	CSNK2A2	casein kinase 2 alpha 2	1459	https://www.ncbi.nlm.nih.gov/gene/?term=1459
FURIN	FURIN	furin, paired basic amino acid cleaving enzyme	5045	https://www.ncbi.nlm.nih.gov/gene/?term=5045
SLC12A2	SLC12A2	solute carrier family 12 member 2	6558	https://www.ncbi.nlm.nih.gov/gene/?term=6558
IPPK	IPPK	inositol-pentakisphosphate 2-kinase	64768	https://www.ncbi.nlm.nih.gov/gene/?term=64768
ACER2	ACER2	alkaline ceramidase 2	340485	https://www.ncbi.nlm.nih.gov/gene/?term=340485
ITK	ITK	IL2 inducible T cell kinase	3702	https://www.ncbi.nlm.nih.gov/gene/?term=3702
RNF7	RNF7	ring finger protein 7	9616	https://www.ncbi.nlm.nih.gov/gene/?term=9616
PDE8A	PDE8A	phosphodiesterase 8A	5151	https://www.ncbi.nlm.nih.gov/gene/?term=5151
DGKQ	DGKQ	diacylglycerol kinase theta	1609	https://www.ncbi.nlm.nih.gov/gene/?term=1609
RASGRF2	RASGRF2	Ras protein specific guanine nucleotide releasing factor 2	5924	https://www.ncbi.nlm.nih.gov/gene/?term=5924
ITGA4	ITGA4	integrin subunit alpha 4	3676	https://www.ncbi.nlm.nih.gov/gene/?term=3676
KIR3DL1	KIR3DL1	killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 1	3811	https://www.ncbi.nlm.nih.gov/gene/?term=3811
SCD	SCD	stearoyl-CoA desaturase	6319	https://www.ncbi.nlm.nih.gov/gene/?term=6319
KCNAB2	KCNAB2	potassium voltage-gated channel subfamily A regulatory beta subunit 2	8514	https://www.ncbi.nlm.nih.gov/gene/?term=8514
TRIM28	TRIM28	tripartite motif containing 28	10155	https://www.ncbi.nlm.nih.gov/gene/?term=10155
VKORC1	VKORC1	vitamin K epoxide reductase complex subunit 1	79001	https://www.ncbi.nlm.nih.gov/gene/?term=79001
FANCA	FANCA	FA complementation group A	2175	https://www.ncbi.nlm.nih.gov/gene/?term=2175
MBTPS1	MBTPS1	membrane bound transcription factor peptidase, site 1	8720	https://www.ncbi.nlm.nih.gov/gene/?term=8720
CAMK4	CAMK4	calcium/calmodulin dependent protein kinase IV	814	https://www.ncbi.nlm.nih.gov/gene/?term=814
GZMB	GZMB	granzyme B	3002	https://www.ncbi.nlm.nih.gov/gene/?term=3002
SDHA	SDHA	succinate dehydrogenase complex flavoprotein subunit A	6389	https://www.ncbi.nlm.nih.gov/gene/?term=6389
PLEKHG2	PLEKHG2	pleckstrin homology and RhoGEF domain containing G2	64857	https://www.ncbi.nlm.nih.gov/gene/?term=64857
NR1H2	NR1H2	nuclear receptor subfamily 1 group H member 2	7376	https://www.ncbi.nlm.nih.gov/gene/?term=7376
SLC12A7	SLC12A7	solute carrier family 12 member 7	10723	https://www.ncbi.nlm.nih.gov/gene/?term=10723
ACOX3	ACOX3	acyl-CoA oxidase 3, pristanoyl	8310	https://www.ncbi.nlm.nih.gov/gene/?term=8310
ADCY9	ADCY9	adenylate cyclase 9	115	https://www.ncbi.nlm.nih.gov/gene/?term=115
CHSY1	CHSY1	chondroitin sulfate synthase 1	22856	https://www.ncbi.nlm.nih.gov/gene/?term=22856
CHD3	CHD3	chromodomain helicase DNA binding protein 3	1107	https://www.ncbi.nlm.nih.gov/gene/?term=1107
KYNU	KYNU	kynureninase	8942	https://www.ncbi.nlm.nih.gov/gene/?term=8942
RASA2	RASA2	RAS p21 protein activator 2	5922	https://www.ncbi.nlm.nih.gov/gene/?term=5922
GJB6	GJB6	gap junction protein beta 6	10804	https://www.ncbi.nlm.nih.gov/gene/?term=10804
ARIH2	ARIH2	ariadne RBR E3 ubiquitin protein ligase 2	10425	https://www.ncbi.nlm.nih.gov/gene/?term=10425
IGFBP4	IGFBP4	insulin like growth factor binding protein 4	3487	https://www.ncbi.nlm.nih.gov/gene/?term=3487
SRSF6	SRSF6	serine and arginine rich splicing factor 6	6431	https://www.ncbi.nlm.nih.gov/gene/?term=6431
EGLN3	EGLN3	egl-9 family hypoxia inducible factor 3	112399	https://www.ncbi.nlm.nih.gov/gene/?term=112399
SSH1	SSH1	slingshot protein phosphatase 1	54434	https://www.ncbi.nlm.nih.gov/gene/?term=54434
CTDP1	CTDP1	CTD phosphatase subunit 1	9150	https://www.ncbi.nlm.nih.gov/gene/?term=9150
CYFIP2	CYFIP2	cytoplasmic FMR1 interacting protein 2	26999	https://www.ncbi.nlm.nih.gov/gene/?term=26999
SLC25A3	SLC25A3	solute carrier family 25 member 3	5250	https://www.ncbi.nlm.nih.gov/gene/?term=5250
BRD2	BRD2	bromodomain containing 2	6046	https://www.ncbi.nlm.nih.gov/gene/?term=6046
IL7R	IL7R	interleukin 7 receptor	3575	https://www.ncbi.nlm.nih.gov/gene/?term=3575
P2RX5	P2RX5	purinergic receptor P2X 5	5026	https://www.ncbi.nlm.nih.gov/gene/?term=5026
PRKAG2	PRKAG2	protein kinase AMP-activated non-catalytic subunit gamma 2	51422	https://www.ncbi.nlm.nih.gov/gene/?term=51422
GNG7	GNG7	G protein subunit gamma 7	2788	https://www.ncbi.nlm.nih.gov/gene/?term=2788
NLRP3	NLRP3	NLR family pyrin domain containing 3	114548	https://www.ncbi.nlm.nih.gov/gene/?term=114548
FGD4	FGD4	FYVE, RhoGEF and PH domain containing 4	121512	https://www.ncbi.nlm.nih.gov/gene/?term=121512
PRKDC	PRKDC	protein kinase, DNA-activated, catalytic subunit	5591	https://www.ncbi.nlm.nih.gov/gene/?term=5591
NR1D2	NR1D2	nuclear receptor subfamily 1 group D member 2	9975	https://www.ncbi.nlm.nih.gov/gene/?term=9975
ABCD4	ABCD4	ATP binding cassette subfamily D member 4	5826	https://www.ncbi.nlm.nih.gov/gene/?term=5826
TNFRSF1B	TNFRSF1B	TNF receptor superfamily member 1B	7133	https://www.ncbi.nlm.nih.gov/gene/?term=7133
CSNK1E	CSNK1E	casein kinase 1 epsilon	1454	https://www.ncbi.nlm.nih.gov/gene/?term=1454
CDS1	CDS1	CDP-diacylglycerol synthase 1	1040	https://www.ncbi.nlm.nih.gov/gene/?term=1040
PTPN1	PTPN1	protein tyrosine phosphatase, non-receptor type 1	5770	https://www.ncbi.nlm.nih.gov/gene/?term=5770
DGKD	DGKD	diacylglycerol kinase delta	8527	https://www.ncbi.nlm.nih.gov/gene/?term=8527
SH2B3	SH2B3	SH2B adaptor protein 3	10019	https://www.ncbi.nlm.nih.gov/gene/?term=10019
TCF7L1	TCF7L1	transcription factor 7 like 1	83439	https://www.ncbi.nlm.nih.gov/gene/?term=83439
CADM1	CADM1	cell adhesion molecule 1	23705	https://www.ncbi.nlm.nih.gov/gene/?term=23705
PHLPP1	PHLPP1	PH domain and leucine rich repeat protein phosphatase 1	23239	https://www.ncbi.nlm.nih.gov/gene/?term=23239
CDKN1A	CDKN1A	cyclin dependent kinase inhibitor 1A	1026	https://www.ncbi.nlm.nih.gov/gene/?term=1026
PERP	PERP	PERP, TP53 apoptosis effector	64065	https://www.ncbi.nlm.nih.gov/gene/?term=64065
TESK1	TESK1	testis associated actin remodelling kinase 1	7016	https://www.ncbi.nlm.nih.gov/gene/?term=7016
CD200R1	CD200R1	CD200 receptor 1	131450	https://www.ncbi.nlm.nih.gov/gene/?term=131450
ARHGAP9	ARHGAP9	Rho GTPase activating protein 9	64333	https://www.ncbi.nlm.nih.gov/gene/?term=64333
BAIAP2	BAIAP2	BAI1 associated protein 2	10458	https://www.ncbi.nlm.nih.gov/gene/?term=10458
CYCS	CYCS	cytochrome c, somatic	54205	https://www.ncbi.nlm.nih.gov/gene/?term=54205
SMU1	SMU1	SMU1, DNA replication regulator and spliceosomal factor	55234	https://www.ncbi.nlm.nih.gov/gene/?term=55234
LZTS1	LZTS1	leucine zipper tumor suppressor 1	11178	https://www.ncbi.nlm.nih.gov/gene/?term=11178
CKB	CKB	creatine kinase B	1152	https://www.ncbi.nlm.nih.gov/gene/?term=1152
TNFRSF13C	TNFRSF13C	TNF receptor superfamily member 13C	115650	https://www.ncbi.nlm.nih.gov/gene/?term=115650
ICOS	ICOS	inducible T cell costimulator	29851	https://www.ncbi.nlm.nih.gov/gene/?term=29851
CRY2	CRY2	cryptochrome circadian regulator 2	1408	https://www.ncbi.nlm.nih.gov/gene/?term=1408
RIPK2	RIPK2	receptor interacting serine/threonine kinase 2	8767	https://www.ncbi.nlm.nih.gov/gene/?term=8767
CYTH1	CYTH1	cytohesin 1	9267	https://www.ncbi.nlm.nih.gov/gene/?term=9267
ASL	ASL	argininosuccinate lyase	435	https://www.ncbi.nlm.nih.gov/gene/?term=435
KIF3A	KIF3A	kinesin family member 3A	11127	https://www.ncbi.nlm.nih.gov/gene/?term=11127
DGUOK	DGUOK	deoxyguanosine kinase	1716	https://www.ncbi.nlm.nih.gov/gene/?term=1716
TUBA4A	TUBA4A	tubulin alpha 4a	7277	https://www.ncbi.nlm.nih.gov/gene/?term=7277
RUVBL1	RUVBL1	RuvB like AAA ATPase 1	8607	https://www.ncbi.nlm.nih.gov/gene/?term=8607
PKP2	PKP2	plakophilin 2	5318	https://www.ncbi.nlm.nih.gov/gene/?term=5318
CDC14A	CDC14A	cell division cycle 14A	8556	https://www.ncbi.nlm.nih.gov/gene/?term=8556
ZNF620	ZNF620	zinc finger protein 620	253639	https://www.ncbi.nlm.nih.gov/gene/?term=253639
CDKN1C	CDKN1C	cyclin dependent kinase inhibitor 1C	1028	https://www.ncbi.nlm.nih.gov/gene/?term=1028
SERPINC1	SERPINC1	serpin family C member 1	462	https://www.ncbi.nlm.nih.gov/gene/?term=462
SRRT	SRRT	serrate, RNA effector molecule	51593	https://www.ncbi.nlm.nih.gov/gene/?term=51593
FBXW11	FBXW11	F-box and WD repeat domain containing 11	23291	https://www.ncbi.nlm.nih.gov/gene/?term=23291
PER1	PER1	period circadian regulator 1	5187	https://www.ncbi.nlm.nih.gov/gene/?term=5187
PRKCQ	PRKCQ	protein kinase C theta	5588	https://www.ncbi.nlm.nih.gov/gene/?term=5588
PRKCI	PRKCI	protein kinase C iota	5584	https://www.ncbi.nlm.nih.gov/gene/?term=5584
HLA-DQA2	HLA-DQA2	major histocompatibility complex, class II, DQ alpha 2	3118	https://www.ncbi.nlm.nih.gov/gene/?term=3118
CCND2	CCND2	cyclin D2	894	https://www.ncbi.nlm.nih.gov/gene/?term=894
HEY1	HEY1	hes related family bHLH transcription factor with YRPW motif 1	23462	https://www.ncbi.nlm.nih.gov/gene/?term=23462
COL1A1	COL1A1	collagen type I alpha 1 chain	1277	https://www.ncbi.nlm.nih.gov/gene/?term=1277
GPD1L	GPD1L	glycerol-3-phosphate dehydrogenase 1 like	23171	https://www.ncbi.nlm.nih.gov/gene/?term=23171
PABPC1	PABPC1	poly(A) binding protein cytoplasmic 1	26986	https://www.ncbi.nlm.nih.gov/gene/?term=26986
ID2	ID2	inhibitor of DNA binding 2	3398	https://www.ncbi.nlm.nih.gov/gene/?term=3398
PGM1	PGM1	phosphoglucomutase 1	5236	https://www.ncbi.nlm.nih.gov/gene/?term=5236
KIR2DL3	KIR2DL3	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 3	3804	https://www.ncbi.nlm.nih.gov/gene/?term=3804
TATDN2	TATDN2	TatD DNase domain containing 2	9797	https://www.ncbi.nlm.nih.gov/gene/?term=9797
SPTBN5	SPTBN5	spectrin beta, non-erythrocytic 5	51332	https://www.ncbi.nlm.nih.gov/gene/?term=51332
KLHDC3	KLHDC3	kelch domain containing 3	116138	https://www.ncbi.nlm.nih.gov/gene/?term=116138
CYP4F2	CYP4F2	cytochrome P450 family 4 subfamily F member 2	8529	https://www.ncbi.nlm.nih.gov/gene/?term=8529
POGLUT1	POGLUT1	protein O-glucosyltransferase 1	56983	https://www.ncbi.nlm.nih.gov/gene/?term=56983
BUB3	BUB3	BUB3, mitotic checkpoint protein	9184	https://www.ncbi.nlm.nih.gov/gene/?term=9184
TPM4	TPM4	tropomyosin 4	7171	https://www.ncbi.nlm.nih.gov/gene/?term=7171
MAP2K5	MAP2K5	mitogen-activated protein kinase kinase 5	5607	https://www.ncbi.nlm.nih.gov/gene/?term=5607
SERP1	SERP1	stress associated endoplasmic reticulum protein 1	27230	https://www.ncbi.nlm.nih.gov/gene/?term=27230
GATA6	GATA6	GATA binding protein 6	2627	https://www.ncbi.nlm.nih.gov/gene/?term=2627
HDC	HDC	histidine decarboxylase	3067	https://www.ncbi.nlm.nih.gov/gene/?term=3067
FADS1	FADS1	fatty acid desaturase 1	3992	https://www.ncbi.nlm.nih.gov/gene/?term=3992
DLG1	DLG1	discs large MAGUK scaffold protein 1	1739	https://www.ncbi.nlm.nih.gov/gene/?term=1739
PLCG2	PLCG2	phospholipase C gamma 2	5336	https://www.ncbi.nlm.nih.gov/gene/?term=5336
DLL1	DLL1	delta like canonical Notch ligand 1	28514	https://www.ncbi.nlm.nih.gov/gene/?term=28514
CRTAM	CRTAM	cytotoxic and regulatory T cell molecule	56253	https://www.ncbi.nlm.nih.gov/gene/?term=56253
PIPOX	PIPOX	pipecolic acid and sarcosine oxidase	51268	https://www.ncbi.nlm.nih.gov/gene/?term=51268
KEAP1	KEAP1	kelch like ECH associated protein 1	9817	https://www.ncbi.nlm.nih.gov/gene/?term=9817
TNIK	TNIK	TRAF2 and NCK interacting kinase	23043	https://www.ncbi.nlm.nih.gov/gene/?term=23043
GTF2E2	GTF2E2	general transcription factor IIE subunit 2	2961	https://www.ncbi.nlm.nih.gov/gene/?term=2961
EEF2	EEF2	eukaryotic translation elongation factor 2	1938	https://www.ncbi.nlm.nih.gov/gene/?term=1938
IQGAP2	IQGAP2	IQ motif containing GTPase activating protein 2	10788	https://www.ncbi.nlm.nih.gov/gene/?term=10788
STAT5A	STAT5A	signal transducer and activator of transcription 5A	6776	https://www.ncbi.nlm.nih.gov/gene/?term=6776
NDC80	NDC80	NDC80, kinetochore complex component	10403	https://www.ncbi.nlm.nih.gov/gene/?term=10403
TNFSF9	TNFSF9	TNF superfamily member 9	8744	https://www.ncbi.nlm.nih.gov/gene/?term=8744
AMPD2	AMPD2	adenosine monophosphate deaminase 2	271	https://www.ncbi.nlm.nih.gov/gene/?term=271
GINS4	GINS4	GINS complex subunit 4	84296	https://www.ncbi.nlm.nih.gov/gene/?term=84296
SLC25A32	SLC25A32	solute carrier family 25 member 32	81034	https://www.ncbi.nlm.nih.gov/gene/?term=81034
MRPL33	MRPL33	mitochondrial ribosomal protein L33	9553	https://www.ncbi.nlm.nih.gov/gene/?term=9553
MRPL32	MRPL32	mitochondrial ribosomal protein L32	64983	https://www.ncbi.nlm.nih.gov/gene/?term=64983
NUMA1	NUMA1	nuclear mitotic apparatus protein 1	4926	https://www.ncbi.nlm.nih.gov/gene/?term=4926
CD6	CD6	CD6 molecule	923	https://www.ncbi.nlm.nih.gov/gene/?term=923
UQCRB	UQCRB	ubiquinol-cytochrome c reductase binding protein	7381	https://www.ncbi.nlm.nih.gov/gene/?term=7381
MED26	MED26	mediator complex subunit 26	9441	https://www.ncbi.nlm.nih.gov/gene/?term=9441
FTCD	FTCD	formimidoyltransferase cyclodeaminase	10841	https://www.ncbi.nlm.nih.gov/gene/?term=10841
ZNF263	ZNF263	zinc finger protein 263	10127	https://www.ncbi.nlm.nih.gov/gene/?term=10127
PRKRA	PRKRA	protein activator of interferon induced protein kinase EIF2AK2	8575	https://www.ncbi.nlm.nih.gov/gene/?term=8575
WARS2	WARS2	tryptophanyl tRNA synthetase 2, mitochondrial	10352	https://www.ncbi.nlm.nih.gov/gene/?term=10352
OASL	OASL	2'-5'-oligoadenylate synthetase like	8638	https://www.ncbi.nlm.nih.gov/gene/?term=8638
LATS2	LATS2	large tumor suppressor kinase 2	26524	https://www.ncbi.nlm.nih.gov/gene/?term=26524
SMAD7	SMAD7	SMAD family member 7	4092	https://www.ncbi.nlm.nih.gov/gene/?term=4092
ARHGAP5	ARHGAP5	Rho GTPase activating protein 5	394	https://www.ncbi.nlm.nih.gov/gene/?term=394
TRAT1	TRAT1	T cell receptor associated transmembrane adaptor 1	50852	https://www.ncbi.nlm.nih.gov/gene/?term=50852
PRKCA	PRKCA	protein kinase C alpha	5578	https://www.ncbi.nlm.nih.gov/gene/?term=5578
VDAC1	VDAC1	voltage dependent anion channel 1	7416	https://www.ncbi.nlm.nih.gov/gene/?term=7416
PRTN3	PRTN3	proteinase 3	5657	https://www.ncbi.nlm.nih.gov/gene/?term=5657
CHST12	CHST12	carbohydrate sulfotransferase 12	55501	https://www.ncbi.nlm.nih.gov/gene/?term=55501
RORA	RORA	RAR related orphan receptor A	6095	https://www.ncbi.nlm.nih.gov/gene/?term=6095
SLC27A2	SLC27A2	solute carrier family 27 member 2	11001	https://www.ncbi.nlm.nih.gov/gene/?term=11001
DFFB	DFFB	DNA fragmentation factor subunit beta	1677	https://www.ncbi.nlm.nih.gov/gene/?term=1677
AKT2	AKT2	AKT serine/threonine kinase 2	208	https://www.ncbi.nlm.nih.gov/gene/?term=208
WBP11	WBP11	WW domain binding protein 11	51729	https://www.ncbi.nlm.nih.gov/gene/?term=51729
ZNF529	ZNF529	zinc finger protein 529	57711	https://www.ncbi.nlm.nih.gov/gene/?term=57711
MGAT5	MGAT5	alpha-1,6-mannosylglycoprotein 6-beta-N-acetylglucosaminyltransferase	4249	https://www.ncbi.nlm.nih.gov/gene/?term=4249
ZNF282	ZNF282	zinc finger protein 282	8427	https://www.ncbi.nlm.nih.gov/gene/?term=8427
FOSL1	FOSL1	FOS like 1, AP-1 transcription factor subunit	8061	https://www.ncbi.nlm.nih.gov/gene/?term=8061
SNRNP200	SNRNP200	small nuclear ribonucleoprotein U5 subunit 200	23020	https://www.ncbi.nlm.nih.gov/gene/?term=23020
IKBKB	IKBKB	inhibitor of nuclear factor kappa B kinase subunit beta	3551	https://www.ncbi.nlm.nih.gov/gene/?term=3551
BRSK2	BRSK2	BR serine/threonine kinase 2	9024	https://www.ncbi.nlm.nih.gov/gene/?term=9024
UAP1	UAP1	UDP-N-acetylglucosamine pyrophosphorylase 1	6675	https://www.ncbi.nlm.nih.gov/gene/?term=6675
WNT10A	WNT10A	Wnt family member 10A	80326	https://www.ncbi.nlm.nih.gov/gene/?term=80326
DLST	DLST	dihydrolipoamide S-succinyltransferase	1743	https://www.ncbi.nlm.nih.gov/gene/?term=1743
CYP11A1	CYP11A1	cytochrome P450 family 11 subfamily A member 1	1583	https://www.ncbi.nlm.nih.gov/gene/?term=1583
HEY2	HEY2	hes related family bHLH transcription factor with YRPW motif 2	23493	https://www.ncbi.nlm.nih.gov/gene/?term=23493
STX4	STX4	syntaxin 4	6810	https://www.ncbi.nlm.nih.gov/gene/?term=6810
